HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N10.HOG0000000	OG0000000	n2			Utg323632_218	Utg858432_110								
N10.HOG0000001	OG0000000	n14			Utg323180_444	Utg860814_23								
N10.HOG0000002	OG0000000	n25			Utg323262_151	Utg859236_95								
N10.HOG0000003	OG0000000	n31			Utg323180_138	Utg857152_211								
N10.HOG0000004	OG0000000	n57			Utg323990_62	Utg860006_151								
N10.HOG0000005	OG0000000	n63			Utg323074_126	Utg857994_144								
N10.HOG0000006	OG0000000	n72				Utg857046_151								
N10.HOG0000007	OG0000000	n75			Utg323262_146	Utg859236_100								
N10.HOG0000008	OG0000000	n82			Utg323392_244	Utg857994_77								
N10.HOG0000009	OG0000000	n83			Utg323152_90	Utg859098_309								
N10.HOG0000010	OG0000000	n104			Utg323180_238	Utg863716_60								
N10.HOG0000011	OG0000000	n105			Utg323316_173	Utg857046_66								
N10.HOG0000012	OG0000000	n106			Utg323140_46	Utg864866_108								
N10.HOG0000013	OG0000000	n115			Utg323140_105	Utg864866_50								
N10.HOG0000014	OG0000000	n119			Utg323632_66	Utg858432_5								
N10.HOG0000015	OG0000000	n125			Utg323990_84	Utg860006_129								
N10.HOG0000016	OG0000000	n146			Utg323152_233	Utg859098_179								
N10.HOG0000017	OG0000000	n154			Utg323152_286	Utg859098_130								
N10.HOG0000018	OG0000000	n159			Utg323632_278	Utg866558_41								
N10.HOG0000019	OG0000000	n161			Utg323152_278	Utg859098_137								
N10.HOG0000020	OG0000000	n168			Utg323140_222									
N10.HOG0000021	OG0000000	n177			Utg323392_13	Utg859098_426								
N10.HOG0000022	OG0000000	n190			Utg323180_69	Utg859750_35								
N10.HOG0000023	OG0000000	n204			Utg323180_151									
N10.HOG0000024	OG0000000	n215			Utg323152_529	Utg857046_247								
N10.HOG0000025	OG0000000	n221				Utg859982_65								
N10.HOG0000026	OG0000000	n229				Utg861744_76								
N10.HOG0000027	OG0000000	n235			Utg323262_120	Utg857076_7								
N10.HOG0000028	OG0000000	n251			Utg323990_174	Utg860006_29								
N10.HOG0000029	OG0000000	n257			Utg323152_412									
N10.HOG0000030	OG0000001	n3			Utg323180_225	Utg863716_50								
N10.HOG0000031	OG0000001	n19			Utg323180_287	Utg863716_105								
N10.HOG0000032	OG0000001	n28				Utg861448_49								
N10.HOG0000033	OG0000001	n43			Utg323180_510	Utg860814_100								
N10.HOG0000034	OG0000001	n57			Utg323180_136	Utg857152_206								
N10.HOG0000035	OG0000001	n68			Utg323300_105	Utg857300_46								
N10.HOG0000036	OG0000001	n72			Utg324810_63									
N10.HOG0000037	OG0000001	n103			Utg325220_101	Utg859236_118								
N10.HOG0000038	OG0000001	n107				Utg859432_61								
N10.HOG0000039	OG0000001	n112			Utg323316_129	Utg857300_26								
N10.HOG0000040	OG0000001	n131			Utg323180_418, Utg323074_106									
N10.HOG0000041	OG0000001	n133			Utg323180_183									
N10.HOG0000042	OG0000001	n141				Utg857994_39								
N10.HOG0000043	OG0000002	n8			Utg323300_31	Utg857046_190								
N10.HOG0000044	OG0000002	n19			Utg323632_46	Utg862138_35								
N10.HOG0000045	OG0000002	n29			Utg323300_181									
N10.HOG0000046	OG0000002	n34				Utg860006_9								
N10.HOG0000047	OG0000002	n55			Utg323316_94	Utg859076_23								
N10.HOG0000048	OG0000002	n72				Utg862138_47								
N10.HOG0000049	OG0000002	n82				Utg857994_111								
N10.HOG0000050	OG0000002	n104			Utg323300_202									
N10.HOG0000051	OG0000002	n112			Utg323160_86	Utg861744_15								
N10.HOG0000052	OG0000002	n124				Utg857994_102								
N10.HOG0000053	OG0000002	n127				Utg857152_238								
N10.HOG0000054	OG0000003	n1			Utg325220_107	Utg859236_111								
N10.HOG0000055	OG0000003	n100			Utg323632_206									
N10.HOG0000056	OG0000003	n106			Utg323152_11	Utg859098_375								
N10.HOG0000057	OG0000003	n107			Utg323180_390									
N10.HOG0000058	OG0000003	n112			Utg323300_45									
N10.HOG0000059	OG0000003	n114			Utg323140_167, Utg323140_166									
N10.HOG0000060	OG0000003	n116			Utg323180_464									
N10.HOG0000061	OG0000003	n119			Utg323180_430									
N10.HOG0000062	OG0000004	n8				Utg859236_110								
N10.HOG0000063	OG0000004	n19			Utg323316_191, Utg323152_14	Utg859098_372								
N10.HOG0000064	OG0000004	n49			Utg323152_471, Utg323074_85, Utg323180_529	Utg857682_27, Utg861744_9, Utg860814_122								
N10.HOG0000065	OG0000004	n56			Utg323300_52									
N10.HOG0000066	OG0000004	n61			Utg323152_27, Utg323300_412	Utg857152_136								
N10.HOG0000067	OG0000004	n63			Utg323266_76, Utg323266_66	Utg857682_26								
N10.HOG0000068	OG0000004	n66			Utg323180_453	Utg860814_35, Utg860814_38								
N10.HOG0000069	OG0000004	n82			Utg323152_588									
N10.HOG0000070	OG0000004	n83			Utg323180_502									
N10.HOG0000071	OG0000004	n87			Utg323180_462									
N10.HOG0000072	OG0000004	n90			Utg323152_104	Utg858494_71								
N10.HOG0000073	OG0000004	n91			Utg323180_416	Utg857994_41								
N10.HOG0000074	OG0000004	n96			Utg323632_135	Utg858432_88								
N10.HOG0000075	OG0000004	n105			Utg323180_613	Utg860814_202								
N10.HOG0000076	OG0000004	n110			Utg323180_419									
N10.HOG0000077	OG0000004	n111			Utg323262_186									
N10.HOG0000078	OG0000004	n115			Utg323300_14	Utg857994_124, Utg859982_119								
N10.HOG0000079	OG0000005	n38			Utg323300_198									
N10.HOG0000080	OG0000005	n46			Utg323152_472, Utg323392_2, Utg323140_137	Utg864866_21, Utg864866_22								
N10.HOG0000081	OG0000005	n54				Utg857152_208								
N10.HOG0000082	OG0000005	n59			Utg323152_391	Utg859982_207								
N10.HOG0000083	OG0000005	n76			Utg323140_36									
N10.HOG0000084	OG0000005	n81			Utg323632_133	Utg858432_84								
N10.HOG0000085	OG0000005	n88			Utg323262_94	Utg857076_41								
N10.HOG0000086	OG0000005	n93				Utg857994_89								
N10.HOG0000087	OG0000005	n95			Utg323392_93	Utg859388_141								
N10.HOG0000088	OG0000005	n98				Utg863716_9								
N10.HOG0000089	OG0000005	n105			Utg323300_274	Utg857152_2								
N10.HOG0000090	OG0000005	n106			Utg323392_174	Utg859388_48								
N10.HOG0000091	OG0000005	n108			Utg323316_116									
N10.HOG0000092	OG0000006	n6			Utg323990_58	Utg860006_155								
N10.HOG0000093	OG0000006	n12			Utg323632_356	Utg858494_72, Utg863716_8								
N10.HOG0000094	OG0000006	n40			Utg323262_137									
N10.HOG0000095	OG0000006	n45			Utg323392_94	Utg859388_140								
N10.HOG0000096	OG0000006	n51			Utg323160_106	Utg863716_22								
N10.HOG0000097	OG0000006	n63			Utg323392_72	Utg858432_72								
N10.HOG0000098	OG0000006	n67				Utg859982_107								
N10.HOG0000099	OG0000006	n73				Utg863716_120								
N10.HOG0000100	OG0000006	n76			Utg323180_218, Utg323180_148									
N10.HOG0000101	OG0000006	n77				Utg858494_73								
N10.HOG0000102	OG0000007	n1			Utg323632_239	Utg858432_132								
N10.HOG0000103	OG0000007	n13			Utg323180_86	Utg859750_38								
N10.HOG0000104	OG0000007	n23			Utg323632_51	Utg862138_39								
N10.HOG0000105	OG0000007	n35			Utg323152_106									
N10.HOG0000106	OG0000007	n42			Utg323262_116	Utg857076_16								
N10.HOG0000107	OG0000007	n48				Utg859432_67								
N10.HOG0000108	OG0000007	n51			Utg323316_118									
N10.HOG0000109	OG0000007	n64			Utg323180_130	Utg857152_200								
N10.HOG0000110	OG0000007	n75			Utg323632_81									
N10.HOG0000111	OG0000008	n4			Utg323632_80									
N10.HOG0000112	OG0000008	n18			Utg323160_91	Utg861744_12								
N10.HOG0000113	OG0000008	n22			Utg323262_89	Utg857076_45								
N10.HOG0000114	OG0000008	n24			Utg323300_42									
N10.HOG0000115	OG0000008	n36			Utg323300_399	Utg857152_123								
N10.HOG0000116	OG0000008	n49			Utg323392_185	Utg859388_41								
N10.HOG0000117	OG0000008	n56				Utg859098_370								
N10.HOG0000118	OG0000009	n8			Utg323990_129	Utg860006_74								
N10.HOG0000119	OG0000009	n21				Utg860814_183								
N10.HOG0000120	OG0000009	n23			Utg323632_134	Utg858432_86								
N10.HOG0000121	OG0000009	n32			Utg323140_138	Utg864866_20								
N10.HOG0000122	OG0000009	n34			Utg323392_3									
N10.HOG0000123	OG0000009	n42			Utg323180_612	Utg860814_199, Utg860814_198								
N10.HOG0000124	OG0000009	n58			Utg323180_288									
N10.HOG0000125	OG0000009	n63			Utg323152_586									
N10.HOG0000126	OG0000010	n4			Utg323316_272, Utg323316_267, Utg323316_264	Utg857046_180								
N10.HOG0000127	OG0000010	n13				Utg857046_174, Utg859236_8								
N10.HOG0000128	OG0000010	n25			Utg323990_20									
N10.HOG0000129	OG0000010	n53			Utg323074_203									
N10.HOG0000130	OG0000011	n4			Utg323180_549	Utg860814_134								
N10.HOG0000131	OG0000011	n26				Utg857046_16								
N10.HOG0000132	OG0000011	n32				Utg859982_61								
N10.HOG0000133	OG0000011	n40				Utg859236_66								
N10.HOG0000134	OG0000012	n6			Utg323392_111	Utg859388_126								
N10.HOG0000135	OG0000012	n13			Utg323140_106	Utg864866_48, Utg864866_49								
N10.HOG0000136	OG0000012	n24			Utg323180_153									
N10.HOG0000137	OG0000012	n26			Utg323316_174	Utg857046_67								
N10.HOG0000138	OG0000012	n28			Utg323632_113	Utg858432_54								
N10.HOG0000139	OG0000012	n46				Utg857046_150								
N10.HOG0000140	OG0000012	n53			Utg323160_104									
N10.HOG0000141	OG0000013	n3			Utg323180_152, Utg323140_78	Utg864866_75								
N10.HOG0000142	OG0000013	n8				Utg863716_117								
N10.HOG0000143	OG0000013	n24			Utg323180_446	Utg860814_26								
N10.HOG0000144	OG0000013	n28			Utg323180_450	Utg860814_31								
N10.HOG0000145	OG0000013	n35			Utg323140_219									
N10.HOG0000146	OG0000013	n45			Utg323140_226									
N10.HOG0000147	OG0000014	n3			Utg323392_110									
N10.HOG0000148	OG0000014	n10				Utg859076_41								
N10.HOG0000149	OG0000014	n14				Utg857994_28								
N10.HOG0000150	OG0000014	n21			Utg323262_128	Utg857682_136								
N10.HOG0000151	OG0000014	n34			Utg324810_58	Utg861744_121, Utg861744_120								
N10.HOG0000152	OG0000015	n9			Utg323392_212	Utg859388_25								
N10.HOG0000153	OG0000015	n11			Utg323632_27	Utg862138_18								
N10.HOG0000154	OG0000015	n17			Utg323140_90	Utg864866_65								
N10.HOG0000155	OG0000015	n30			Utg325220_80									
N10.HOG0000156	OG0000015	n37			Utg323140_91									
N10.HOG0000157	OG0000016	n12			Utg323152_301	Utg859098_114								
N10.HOG0000158	OG0000016	n44			Utg323300_407	Utg857152_131								
N10.HOG0000159	OG0000016	n49			Utg323300_334									
N10.HOG0000160	OG0000017	n13			Utg323990_184	Utg860006_13								
N10.HOG0000161	OG0000017	n14				Utg860006_18								
N10.HOG0000162	OG0000017	n24			Utg323990_193	Utg860006_11								
N10.HOG0000163	OG0000017	n31			Utg323990_194									
N10.HOG0000164	OG0000017	n34			Utg323180_486									
N10.HOG0000165	OG0000017	n41				Utg859388_110, Utg859388_121								
N10.HOG0000166	OG0000018	n20			Utg323152_201	Utg859098_213								
N10.HOG0000167	OG0000018	n30				Utg860006_167								
N10.HOG0000168	OG0000018	n35				Utg859098_43								
N10.HOG0000169	OG0000018	n36				Utg860006_169								
N10.HOG0000170	OG0000018	n47			Utg323262_9, Utg323990_12									
N10.HOG0000171	OG0000019	n2			Utg323140_131	Utg864866_31								
N10.HOG0000172	OG0000019	n13			Utg323300_146									
N10.HOG0000173	OG0000019	n24				Utg859076_43								
N10.HOG0000174	OG0000019	n28				Utg857994_27								
N10.HOG0000175	OG0000019	n29			Utg323262_129	Utg859076_49								
N10.HOG0000176	OG0000019	n39			Utg323262_127	Utg857682_135								
N10.HOG0000177	OG0000020	n5			Utg323266_116	Utg857682_69								
N10.HOG0000178	OG0000020	n12			Utg323152_283	Utg859098_133								
N10.HOG0000179	OG0000020	n15			Utg323632_271	Utg866558_48								
N10.HOG0000180	OG0000020	n17			Utg323152_268	Utg859098_147								
N10.HOG0000181	OG0000020	n20			Utg323180_155	Utg857152_214								
N10.HOG0000182	OG0000020	n36			Utg323300_116	Utg857300_36								
N10.HOG0000183	OG0000021	n21			Utg323152_38	Utg859098_363								
N10.HOG0000184	OG0000022	n10			Utg323152_194	Utg859098_220								
