HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N6.HOG0000000	OG0000000	n2		WP_015405628.1	Utg323632_218	Utg858432_110		WP_136805244.1	WP_136797951.1	WP_011190064.1				
N6.HOG0000001	OG0000000	n14			Utg323180_444	Utg860814_23		WP_136809874.1, WP_136808305.1	WP_228721414.1, WP_136796704.1					
N6.HOG0000002	OG0000000	n25			Utg323262_151	Utg859236_95		WP_136806168.1	WP_136798610.1					
N6.HOG0000003	OG0000000	n31		WP_015404870.1, WP_015402904.1	Utg323180_138	Utg857152_211		WP_136807632.1	WP_136798351.1					
N6.HOG0000004	OG0000000	n44						WP_167505846.1						
N6.HOG0000005	OG0000000	n47		WP_015403470.1				WP_136806855.1	WP_136798833.1					
N6.HOG0000006	OG0000000	n57		WP_015404602.1	Utg323990_62	Utg860006_151		WP_136808413.1	WP_217907585.1					
N6.HOG0000007	OG0000000	n63		WP_015404730.1	Utg323074_126	Utg857994_144		WP_136805435.1	WP_136797758.1	WP_011189962.1				
N6.HOG0000008	OG0000000	n72				Utg857046_151								
N6.HOG0000009	OG0000000	n75		WP_015403104.1, WP_015404836.1	Utg323262_146	Utg859236_100		WP_136809847.1	WP_136799830.1					
N6.HOG0000010	OG0000000	n81			Utg323392_244, Utg323152_90	Utg857994_77, Utg859098_309		WP_136808161.1	WP_136795330.1	WP_156792258.1				
N6.HOG0000011	OG0000000	n89								WP_011187715.1				
N6.HOG0000012	OG0000000	n90							WP_136796388.1					
N6.HOG0000013	OG0000000	n94			Utg323180_238, Utg323316_173	Utg863716_60, Utg857046_66		WP_136808356.1	WP_136796659.1					
N6.HOG0000014	OG0000000	n106			Utg323140_46	Utg864866_108		WP_136809937.1	WP_136797600.1, WP_136796723.1	WP_011188283.1				
N6.HOG0000015	OG0000000	n115		WP_015403526.1	Utg323140_105	Utg864866_50		WP_136808232.1		WP_011187621.1				
N6.HOG0000016	OG0000000	n119		WP_015405714.1	Utg323632_66	Utg858432_5		WP_217909566.1	WP_275942930.1	WP_041277753.1				
N6.HOG0000017	OG0000000	n125		WP_015404574.1	Utg323990_84	Utg860006_129		WP_136806271.1	WP_136795862.1	WP_041278710.1				
N6.HOG0000018	OG0000000	n146		WP_015405012.1	Utg323152_233	Utg859098_179								
N6.HOG0000019	OG0000000	n150		WP_015405247.1, WP_015404443.1, WP_015405235.1	Utg323152_286, Utg323632_278, Utg323152_278	Utg859098_130, Utg866558_41, Utg859098_137		WP_136807046.1, WP_136810243.1	WP_136798339.1, WP_136796441.1					
N6.HOG0000020	OG0000000	n168		WP_015404190.1	Utg323140_222			WP_136810261.1, WP_136810305.1, WP_136810299.1	WP_136797028.1, WP_136799931.1					
N6.HOG0000021	OG0000000	n177			Utg323392_13	Utg859098_426		WP_136809765.1, WP_167506066.1	WP_136795637.1, WP_136796984.1	WP_011187582.1				
N6.HOG0000022	OG0000000	n190		WP_228130058.1	Utg323180_69	Utg859750_35		WP_136808675.1, WP_136810094.1, WP_136807718.1, WP_136805463.1	WP_136796539.1	WP_011188526.1				
N6.HOG0000023	OG0000000	n204			Utg323180_151			WP_136806758.1	WP_217907626.1					
N6.HOG0000024	OG0000000	n210			Utg323152_529	Utg860006_108, Utg857046_247, Utg859982_65		WP_217909594.1, WP_167505720.1, WP_136809225.1	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1	WP_049785130.1, WP_011187784.1				
N6.HOG0000025	OG0000000	n227						WP_136805595.1						
N6.HOG0000026	OG0000000	n229				Utg861744_76								
N6.HOG0000027	OG0000000	n235		WP_015402874.1	Utg323262_120	Utg857076_7			WP_176360009.1, WP_228721410.1					
N6.HOG0000028	OG0000000	n242		WP_052326964.1				WP_275942845.1	WP_136799495.1					
N6.HOG0000029	OG0000000	n246						WP_136808452.1	WP_136798255.1					
N6.HOG0000030	OG0000000	n251		WP_015405199.1, WP_015404515.1	Utg323990_174	Utg860006_29		WP_136808658.1	WP_136798421.1					
N6.HOG0000031	OG0000000	n257		WP_015404367.1	Utg323152_412			WP_136805922.1	WP_136798981.1					
N6.HOG0000032	OG0000001	n3			Utg323180_225	Utg863716_50			WP_136796374.1					
N6.HOG0000033	OG0000001	n8		WP_015402638.1				WP_136806607.1						
N6.HOG0000034	OG0000001	n14								WP_011188793.1				
N6.HOG0000035	OG0000001	n15						WP_167505925.1		WP_011187475.1				
N6.HOG0000036	OG0000001	n19		WP_015402457.1, WP_015402486.1	Utg323180_287	Utg863716_105		WP_136808786.1						
N6.HOG0000037	OG0000001	n28		WP_015403644.1		Utg861448_49		WP_136805177.1	WP_136798931.1	WP_011189956.1				
N6.HOG0000038	OG0000001	n43		WP_015402385.1	Utg323180_510	Utg860814_100								
N6.HOG0000039	OG0000001	n49		WP_015405261.1										
N6.HOG0000040	OG0000001	n55		WP_015402811.1					WP_136798799.1					
N6.HOG0000041	OG0000001	n57		WP_167320702.1	Utg323180_136	Utg857152_206		WP_136807476.1	WP_136799195.1					
N6.HOG0000042	OG0000001	n68			Utg323300_105	Utg857300_46		WP_136809287.1	WP_136799410.1	WP_011187505.1				
N6.HOG0000043	OG0000001	n72			Utg324810_63			WP_136810389.1						
N6.HOG0000044	OG0000001	n84		WP_015402591.1				WP_136809108.1		WP_041277893.1, WP_011188215.1				
N6.HOG0000045	OG0000001	n103			Utg325220_101	Utg859236_118				WP_011189761.1, WP_011189031.1				
N6.HOG0000046	OG0000001	n107				Utg859432_61				WP_011187559.1				
N6.HOG0000047	OG0000001	n110								WP_011189221.1				
N6.HOG0000048	OG0000001	n111						WP_136809201.1, WP_136809645.1						
N6.HOG0000049	OG0000001	n112			Utg323316_129	Utg857300_26		WP_136807061.1						
N6.HOG0000050	OG0000001	n117						WP_136807017.1						
N6.HOG0000051	OG0000001	n127		WP_015402480.1						WP_049785109.1				
N6.HOG0000052	OG0000001	n131			Utg323180_418, Utg323074_106									
N6.HOG0000053	OG0000001	n133			Utg323180_183									
N6.HOG0000054	OG0000001	n139								WP_041277878.1				
N6.HOG0000055	OG0000001	n141				Utg857994_39			WP_136796562.1	WP_011187493.1				
N6.HOG0000056	OG0000001	n147								WP_011189550.1				
N6.HOG0000057	OG0000001	n150						WP_136806467.1	WP_136798261.1					
N6.HOG0000058	OG0000002	n8		WP_015403812.1, WP_015404031.1	Utg323300_31	Utg857046_190				WP_041277844.1				
N6.HOG0000059	OG0000002	n13						WP_136806247.1						
N6.HOG0000060	OG0000002	n19		WP_015403655.1	Utg323632_46	Utg862138_35								
N6.HOG0000061	OG0000002	n23								WP_011188785.1				
N6.HOG0000062	OG0000002	n26						WP_136805222.1						
N6.HOG0000063	OG0000002	n29		WP_015404618.1	Utg323300_181			WP_176371628.1	WP_136795378.1					
N6.HOG0000064	OG0000002	n34				Utg860006_9		WP_136808433.1	WP_136799957.1					
N6.HOG0000065	OG0000002	n39							WP_217907664.1					
N6.HOG0000066	OG0000002	n45								WP_041277525.1				
N6.HOG0000067	OG0000002	n50								WP_011188593.1, WP_041277555.1				
N6.HOG0000068	OG0000002	n55			Utg323316_94	Utg859076_23		WP_136806603.1, WP_136807752.1	WP_136796812.1, WP_136796360.1					
N6.HOG0000069	OG0000002	n61							WP_136796249.1					
N6.HOG0000070	OG0000002	n64							WP_136798842.1					
N6.HOG0000071	OG0000002	n70						WP_136807288.1	WP_136795903.1					
N6.HOG0000072	OG0000002	n72				Utg862138_47		WP_136805570.1	WP_136798151.1	WP_041277737.1				
N6.HOG0000073	OG0000002	n78						WP_136806489.1	WP_136798935.1	WP_011188604.1				
N6.HOG0000074	OG0000002	n82				Utg857994_111		WP_136808067.1	WP_136795245.1					
N6.HOG0000075	OG0000002	n92						WP_275942839.1	WP_275942957.1	WP_011188232.1				
N6.HOG0000076	OG0000002	n100						WP_136810386.1	WP_136796313.1	WP_011188476.1				
N6.HOG0000077	OG0000002	n104		WP_041916771.1	Utg323300_202			WP_217909654.1, WP_136806069.1	WP_275942949.1, WP_167495633.1	WP_011188678.1				
N6.HOG0000078	OG0000002	n112		WP_153304957.1	Utg323160_86	Utg861744_15								
N6.HOG0000079	OG0000002	n118						WP_136807684.1, WP_136810832.1, WP_136805614.1	WP_136799606.1, WP_136799805.1					
N6.HOG0000080	OG0000002	n124				Utg857994_102				WP_011189225.1				
N6.HOG0000081	OG0000002	n126							WP_136798598.1					
N6.HOG0000082	OG0000002	n127				Utg857152_238			WP_136796899.1	WP_041277652.1				
N6.HOG0000083	OG0000002	n132		WP_015403778.1				WP_136808992.1						
N6.HOG0000084	OG0000003	n1			Utg325220_107	Utg859236_111		WP_136806109.1	WP_136795949.1					
N6.HOG0000085	OG0000003	n11								WP_011188221.1				
N6.HOG0000086	OG0000003	n100			Utg323632_206			WP_136810764.1		WP_011188222.1				
