HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N8.HOG0000000	OG0000000	n2						WP_136805244.1	WP_136797951.1					
N8.HOG0000001	OG0000000	n19						WP_136809874.1	WP_228721414.1					
N8.HOG0000002	OG0000000	n20						WP_136808305.1	WP_136796704.1					
N8.HOG0000003	OG0000000	n25						WP_136806168.1	WP_136798610.1					
N8.HOG0000004	OG0000000	n31						WP_136807632.1	WP_136798351.1					
N8.HOG0000005	OG0000000	n44						WP_167505846.1						
N8.HOG0000006	OG0000000	n47						WP_136806855.1	WP_136798833.1					
N8.HOG0000007	OG0000000	n57						WP_136808413.1	WP_217907585.1					
N8.HOG0000008	OG0000000	n63						WP_136805435.1	WP_136797758.1					
N8.HOG0000009	OG0000000	n75						WP_136809847.1	WP_136799830.1					
N8.HOG0000010	OG0000000	n81						WP_136808161.1	WP_136795330.1					
N8.HOG0000011	OG0000000	n90							WP_136796388.1					
N8.HOG0000012	OG0000000	n94						WP_136808356.1	WP_136796659.1					
N8.HOG0000013	OG0000000	n106						WP_136809937.1	WP_136797600.1, WP_136796723.1					
N8.HOG0000014	OG0000000	n115						WP_136808232.1						
N8.HOG0000015	OG0000000	n119						WP_217909566.1	WP_275942930.1					
N8.HOG0000016	OG0000000	n125						WP_136806271.1	WP_136795862.1					
N8.HOG0000017	OG0000000	n154						WP_136807046.1						
N8.HOG0000018	OG0000000	n157						WP_136810243.1						
N8.HOG0000019	OG0000000	n163							WP_136798339.1, WP_136796441.1					
N8.HOG0000020	OG0000000	n173						WP_136810261.1, WP_136810305.1	WP_136797028.1					
N8.HOG0000021	OG0000000	n175						WP_136810299.1	WP_136799931.1					
N8.HOG0000022	OG0000000	n181						WP_136809765.1	WP_136795637.1					
N8.HOG0000023	OG0000000	n185						WP_167506066.1	WP_136796984.1					
N8.HOG0000024	OG0000000	n190						WP_136808675.1, WP_136810094.1, WP_136807718.1, WP_136805463.1	WP_136796539.1					
N8.HOG0000025	OG0000000	n204						WP_136806758.1	WP_217907626.1					
N8.HOG0000026	OG0000000	n215						WP_217909594.1, WP_167505720.1	WP_167495805.1, WP_136799754.1, WP_136799532.1					
N8.HOG0000027	OG0000000	n221						WP_136809225.1	WP_136796349.1, WP_136796152.1					
N8.HOG0000028	OG0000000	n227						WP_136805595.1						
N8.HOG0000029	OG0000000	n235							WP_176360009.1, WP_228721410.1					
N8.HOG0000030	OG0000000	n242						WP_275942845.1	WP_136799495.1					
N8.HOG0000031	OG0000000	n246						WP_136808452.1	WP_136798255.1					
N8.HOG0000032	OG0000000	n251						WP_136808658.1	WP_136798421.1					
N8.HOG0000033	OG0000000	n257						WP_136805922.1	WP_136798981.1					
N8.HOG0000034	OG0000001	n3							WP_136796374.1					
N8.HOG0000035	OG0000001	n8						WP_136806607.1						
N8.HOG0000036	OG0000001	n15						WP_167505925.1						
N8.HOG0000037	OG0000001	n19						WP_136808786.1						
N8.HOG0000038	OG0000001	n28						WP_136805177.1	WP_136798931.1					
N8.HOG0000039	OG0000001	n55							WP_136798799.1					
N8.HOG0000040	OG0000001	n57						WP_136807476.1	WP_136799195.1					
N8.HOG0000041	OG0000001	n68						WP_136809287.1	WP_136799410.1					
N8.HOG0000042	OG0000001	n72						WP_136810389.1						
N8.HOG0000043	OG0000001	n84						WP_136809108.1						
N8.HOG0000044	OG0000001	n111						WP_136809201.1, WP_136809645.1						
N8.HOG0000045	OG0000001	n112						WP_136807061.1						
N8.HOG0000046	OG0000001	n117						WP_136807017.1						
N8.HOG0000047	OG0000001	n141							WP_136796562.1					
