HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N4.HOG0000000	OG0000000	n2									WP_126376458.1	WP_011791609.1		
N4.HOG0000001	OG0000000	n22									WP_126376149.1	WP_011792763.1		
N4.HOG0000002	OG0000000	n23									WP_126379949.1	WP_010938245.1, WP_011792839.1		
N4.HOG0000003	OG0000000	n44										WP_011791354.1		
N4.HOG0000004	OG0000000	n47									WP_126379731.1	WP_011793126.1		
N4.HOG0000005	OG0000000	n74										WP_011791385.1		
N4.HOG0000006	OG0000000	n113										WP_011791326.1		
N4.HOG0000007	OG0000000	n133									WP_126379473.1	WP_010938712.1		
N4.HOG0000008	OG0000000	n134									WP_126380421.1	WP_011791434.1		
N4.HOG0000009	OG0000000	n140									WP_126381323.1	WP_010940154.1		
N4.HOG0000010	OG0000000	n146									WP_126375654.1	WP_043629113.1		
N4.HOG0000011	OG0000000	n150									WP_172961679.1	WP_010938045.1		
N4.HOG0000012	OG0000000	n168									WP_126377754.1	WP_010940219.1		
N4.HOG0000013	OG0000000	n177									WP_126380558.1	WP_011792079.1		
N4.HOG0000014	OG0000000	n187									WP_126378998.1			
N4.HOG0000015	OG0000000	n190									WP_172961667.1	WP_011791966.1, WP_011793108.1		
N4.HOG0000016	OG0000000	n204										WP_010940215.1		
N4.HOG0000017	OG0000000	n210										WP_011791645.1		
N4.HOG0000018	OG0000000	n227										WP_043629547.1		
N4.HOG0000019	OG0000000	n229										WP_011787377.1		
N4.HOG0000020	OG0000000	n235									WP_126377909.1	WP_011792800.1		
N4.HOG0000021	OG0000000	n242										WP_011791917.1		
N4.HOG0000022	OG0000000	n247									WP_126379194.1	WP_011792552.1		
N4.HOG0000023	OG0000000	n248										WP_011787340.1		
N4.HOG0000024	OG0000000	n251										WP_010937429.1		
N4.HOG0000025	OG0000000	n257									WP_126377956.1	WP_011792072.1		
N4.HOG0000026	OG0000001	n6									WP_126376510.1, WP_172961810.1			
N4.HOG0000027	OG0000001	n8										WP_010937723.1		
N4.HOG0000028	OG0000001	n19									WP_126375555.1			
N4.HOG0000029	OG0000001	n39									WP_126376875.1	WP_011791528.1		
N4.HOG0000030	OG0000001	n40									WP_126378261.1			
N4.HOG0000031	OG0000001	n43									WP_126377423.1	WP_010939092.1		
N4.HOG0000032	OG0000001	n49									WP_232034871.1, WP_126377178.1	WP_011792183.1		
N4.HOG0000033	OG0000001	n57									WP_126375573.1, WP_126379609.1			
N4.HOG0000034	OG0000001	n77									WP_126380918.1	WP_010937422.1		
N4.HOG0000035	OG0000001	n78									WP_126377950.1	WP_010939946.1		
N4.HOG0000036	OG0000001	n84										WP_011791763.1		
N4.HOG0000037	OG0000001	n94									WP_126376869.1			
N4.HOG0000038	OG0000001	n99									WP_172961606.1			
N4.HOG0000039	OG0000001	n103									WP_126379817.1			
N4.HOG0000040	OG0000001	n107									WP_172961763.1			
N4.HOG0000041	OG0000001	n112									WP_126380957.1	WP_010939074.1		
N4.HOG0000042	OG0000001	n117									WP_172961695.1	WP_010940213.1, WP_010938064.1		
N4.HOG0000043	OG0000001	n133									WP_197723432.1			
N4.HOG0000044	OG0000001	n139										WP_011793088.1		
N4.HOG0000045	OG0000001	n147									WP_172961701.1			
N4.HOG0000046	OG0000001	n150									WP_126375584.1, WP_172961715.1	WP_011792985.1		
N4.HOG0000047	OG0000002	n3										WP_010939653.1		
N4.HOG0000048	OG0000002	n39									WP_126380848.1	WP_011792861.1		
N4.HOG0000049	OG0000002	n45										WP_011793091.1		
N4.HOG0000050	OG0000002	n55										WP_011791473.1		
N4.HOG0000051	OG0000002	n61									WP_126380045.1, WP_126380572.1	WP_010937409.1		
N4.HOG0000052	OG0000002	n64									WP_197723458.1			
N4.HOG0000053	OG0000002	n68										WP_011793015.1		
N4.HOG0000054	OG0000002	n77									WP_126377640.1			
N4.HOG0000055	OG0000002	n92									WP_126376855.1	WP_181409382.1		
N4.HOG0000056	OG0000002	n100									WP_126380920.1	WP_010938054.1		
N4.HOG0000057	OG0000002	n104										WP_181409370.1		
N4.HOG0000058	OG0000002	n112									WP_126375861.1	WP_206215584.1		
N4.HOG0000059	OG0000002	n118									WP_126378796.1			
N4.HOG0000060	OG0000002	n124									WP_172961625.1			
N4.HOG0000061	OG0000002	n127									WP_126380628.1	WP_011792919.1		
N4.HOG0000062	OG0000002	n132									WP_126378098.1	WP_010939222.1		
N4.HOG0000063	OG0000003	n34									WP_126378962.1	WP_011791948.1, WP_011792936.1, WP_011792186.1		
N4.HOG0000064	OG0000003	n37									WP_269471680.1	WP_011792805.1, WP_223294605.1		
N4.HOG0000065	OG0000003	n39										WP_011791943.1, WP_011792128.1		
N4.HOG0000066	OG0000003	n41									WP_126378451.1, WP_126375592.1	WP_011791758.1, WP_011793192.1		
N4.HOG0000067	OG0000003	n44									WP_232034903.1, WP_126377874.1, WP_126375919.1	WP_011792991.1, WP_011791551.1		
N4.HOG0000068	OG0000003	n48									WP_126377852.1	WP_011791517.1, WP_011791477.1, WP_011793099.1		
N4.HOG0000069	OG0000003	n55									WP_126380591.1	WP_011792169.1		
N4.HOG0000070	OG0000003	n56									WP_172961734.1	WP_011792750.1		
N4.HOG0000071	OG0000003	n59									WP_126378859.1	WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1		
N4.HOG0000072	OG0000003	n63									WP_126377940.1, WP_232034842.1	WP_011792768.1		
N4.HOG0000073	OG0000003	n65									WP_126378861.1, WP_126380680.1	WP_011791461.1		
N4.HOG0000074	OG0000003	n67									WP_172961561.1	WP_011792622.1		
N4.HOG0000075	OG0000003	n68									WP_126379689.1, WP_126378840.1, WP_126380863.1	WP_011793136.1, WP_010937493.1		
N4.HOG0000076	OG0000003	n99									WP_126377796.1			
N4.HOG0000077	OG0000003	n100									WP_126379081.1			
N4.HOG0000078	OG0000004	n14									WP_172961808.1			
N4.HOG0000079	OG0000004	n17									WP_172961663.1	WP_223294664.1		
N4.HOG0000080	OG0000004	n19									WP_126379990.1			
N4.HOG0000081	OG0000004	n25									WP_126381022.1	WP_011791556.1		
N4.HOG0000082	OG0000005	n2										WP_011792798.1		
N4.HOG0000083	OG0000005	n8									WP_126375692.1			
N4.HOG0000084	OG0000005	n11										WP_223294600.1, WP_011791535.1		
N4.HOG0000085	OG0000005	n18									WP_126376141.1			
N4.HOG0000086	OG0000005	n20									WP_126378870.1	WP_223294572.1		
N4.HOG0000087	OG0000005	n25									WP_126378672.1	WP_011791961.1		
N4.HOG0000088	OG0000005	n28									WP_126380638.1	WP_223294640.1		
N4.HOG0000089	OG0000005	n31									WP_126377858.1			
N4.HOG0000090	OG0000005	n32									WP_126379076.1, WP_126376307.1	WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1		
N4.HOG0000091	OG0000005	n38									WP_126379727.1, WP_172961688.1	WP_011791849.1, WP_011792761.1		
N4.HOG0000092	OG0000005	n45										WP_011791751.1, WP_011791759.1		
N4.HOG0000093	OG0000005	n66										WP_011791532.1		
N4.HOG0000094	OG0000006	n29									WP_172961697.1, WP_172961590.1, WP_126379953.1	WP_223294638.1		
